glid,label,source
146954631,retained,feb_sale1_not_winback
147195412,retained,feb_sale1_not_winback
150622257,retained,feb_sale1_not_winback
155828256,retained,feb_sale1_not_winback
159058598,retained,feb_sale1_not_winback
159375068,retained,feb_sale1_not_winback
160130544,retained,feb_sale1_not_winback
160210959,retained,feb_sale1_not_winback
181542068,retained,feb_sale1_not_winback
183972337,retained,feb_sale1_not_winback
190150528,retained,feb_sale1_not_winback
193393399,retained,feb_sale1_not_winback
193419231,retained,feb_sale1_not_winback
200358257,retained,feb_sale1_not_winback
203638179,retained,feb_sale1_not_winback
207647438,retained,feb_sale1_not_winback
210450131,retained,feb_sale1_not_winback
210787717,retained,feb_sale1_not_winback
214427766,retained,feb_sale1_not_winback
216094530,retained,feb_sale1_not_winback
217321788,retained,feb_sale1_not_winback
221562559,retained,feb_sale1_not_winback
223037463,retained,feb_sale1_not_winback
226121764,retained,feb_sale1_not_winback
226474769,retained,feb_sale1_not_winback
228317237,retained,feb_sale1_not_winback
229040187,retained,feb_sale1_not_winback
231414685,retained,feb_sale1_not_winback
232677209,retained,feb_sale1_not_winback
234569240,retained,feb_sale1_not_winback
235615054,retained,feb_sale1_not_winback
238479298,retained,feb_sale1_not_winback
241288619,retained,feb_sale1_not_winback
241722003,retained,feb_sale1_not_winback
243318032,retained,feb_sale1_not_winback
246112157,retained,feb_sale1_not_winback
248698702,retained,feb_sale1_not_winback
252556524,retained,feb_sale1_not_winback
252859868,retained,feb_sale1_not_winback
253902900,retained,feb_sale1_not_winback
255410189,retained,feb_sale1_not_winback
256481076,retained,feb_sale1_not_winback
258178431,retained,feb_sale1_not_winback
264007932,retained,feb_sale1_not_winback
264008657,retained,feb_sale1_not_winback
264111287,retained,feb_sale1_not_winback
264112210,retained,feb_sale1_not_winback
264137734,retained,feb_sale1_not_winback
264206164,retained,feb_sale1_not_winback
264207199,retained,feb_sale1_not_winback
264224488,retained,feb_sale1_not_winback
264234729,retained,feb_sale1_not_winback
264274461,retained,feb_sale1_not_winback
264397186,retained,feb_sale1_not_winback
264436766,retained,feb_sale1_not_winback
264455229,retained,feb_sale1_not_winback
264492836,retained,feb_sale1_not_winback
264493085,retained,feb_sale1_not_winback
264523407,retained,feb_sale1_not_winback
264540622,retained,feb_sale1_not_winback
264542222,retained,feb_sale1_not_winback
264544569,retained,feb_sale1_not_winback
264600266,retained,feb_sale1_not_winback
264644172,retained,feb_sale1_not_winback
264648295,retained,feb_sale1_not_winback
264656857,retained,feb_sale1_not_winback
264690408,retained,feb_sale1_not_winback
264723974,retained,feb_sale1_not_winback
264730283,retained,feb_sale1_not_winback
264756761,retained,feb_sale1_not_winback
264773658,retained,feb_sale1_not_winback
264780566,retained,feb_sale1_not_winback
264781721,retained,feb_sale1_not_winback
264830145,retained,feb_sale1_not_winback
264833046,retained,feb_sale1_not_winback
264875986,retained,feb_sale1_not_winback
264879000,retained,feb_sale1_not_winback
264932697,retained,feb_sale1_not_winback
264973824,retained,feb_sale1_not_winback
264983610,retained,feb_sale1_not_winback
265075316,retained,feb_sale1_not_winback
265122762,retained,feb_sale1_not_winback
265278321,retained,feb_sale1_not_winback
16128834,churned,feb_sale1_winback
27257635,churned,feb_sale1_winback
29616738,churned,feb_sale1_winback
41584202,churned,feb_sale1_winback
55709000,churned,feb_sale1_winback
58309731,churned,feb_sale1_winback
60110967,churned,feb_sale1_winback
68608123,churned,feb_sale1_winback
92870390,churned,feb_sale1_winback
102389655,churned,feb_sale1_winback
102449301,churned,feb_sale1_winback
115980001,churned,feb_sale1_winback
119919873,churned,feb_sale1_winback
125814507,churned,feb_sale1_winback
145519792,churned,feb_sale1_winback
147730382,churned,feb_sale1_winback
148974080,churned,feb_sale1_winback
157368386,churned,feb_sale1_winback
182243632,churned,feb_sale1_winback
184754865,churned,feb_sale1_winback
187503261,churned,feb_sale1_winback
199587761,churned,feb_sale1_winback
226254528,churned,feb_sale1_winback
233554790,churned,feb_sale1_winback
234386432,churned,feb_sale1_winback
241455359,churned,feb_sale1_winback
247821436,churned,feb_sale1_winback
247947393,churned,feb_sale1_winback
250446828,churned,feb_sale1_winback
263069351,churned,feb_sale1_winback
264144052,churned,feb_sale1_winback
264396252,churned,feb_sale1_winback
264492755,churned,feb_sale1_winback
264501360,churned,feb_sale1_winback
264502995,churned,feb_sale1_winback
264664208,churned,feb_sale1_winback
264705640,churned,feb_sale1_winback
265172749,churned,feb_sale1_winback
21474346,churned,winback_apr_sample
3383269,churned,winback_apr_sample
83400785,churned,winback_apr_sample
68611323,churned,winback_apr_sample
58988118,churned,winback_apr_sample
29144049,churned,winback_apr_sample
18868629,churned,winback_apr_sample
244294555,churned,winback_apr_sample
14207861,churned,winback_apr_sample
180217685,churned,winback_apr_sample
4016152,churned,winback_apr_sample
3817312,churned,winback_apr_sample
16056122,churned,winback_apr_sample
57191964,churned,winback_apr_sample
62938131,churned,winback_apr_sample
236231626,churned,winback_apr_sample
3480876,churned,winback_apr_sample
257640023,churned,winback_apr_sample
48889131,churned,winback_apr_sample
244220217,churned,winback_apr_sample
163346298,churned,winback_apr_sample
58048269,churned,winback_apr_sample
192962146,churned,winback_apr_sample
85014631,churned,winback_apr_sample
1038984,churned,winback_apr_sample
35555687,churned,winback_apr_sample
180601915,churned,winback_apr_sample
119467221,churned,winback_apr_sample
84928091,churned,winback_apr_sample
34070634,churned,winback_apr_sample
55774518,churned,winback_apr_sample
117158046,churned,winback_apr_sample
18790684,churned,winback_apr_sample
15854803,churned,winback_apr_sample
143010689,churned,winback_apr_sample
16657787,churned,winback_apr_sample
129786472,churned,winback_apr_sample
121246161,churned,winback_apr_sample
78557428,churned,winback_apr_sample
5983029,churned,winback_apr_sample
202041505,churned,winback_apr_sample
243601342,churned,winback_apr_sample
25463225,churned,winback_apr_sample
141950147,churned,winback_apr_sample
12355439,churned,winback_apr_sample
246002529,churned,winback_apr_sample
93139751,churned,winback_apr_sample
131674935,churned,winback_apr_sample
46556435,churned,winback_apr_sample
10384463,churned,winback_apr_sample
6483711,churned,winback_apr_sample
61022193,churned,winback_apr_sample
91116223,churned,winback_apr_sample
12557700,churned,winback_apr_sample
63034651,churned,winback_apr_sample
18424674,churned,winback_apr_sample
143113287,churned,winback_apr_sample
84980468,churned,winback_apr_sample
195896953,churned,winback_apr_sample
133718808,churned,winback_apr_sample
36541646,churned,winback_apr_sample
137173458,churned,winback_apr_sample
126528320,churned,winback_apr_sample
53132251,churned,winback_apr_sample
79801187,churned,winback_apr_sample
10759849,churned,winback_apr_sample
39409725,churned,winback_apr_sample
243503971,churned,winback_apr_sample
68565913,churned,winback_apr_sample
36783585,churned,winback_apr_sample
204538352,churned,winback_apr_sample
142825250,churned,winback_apr_sample
81138273,churned,winback_apr_sample
252572689,churned,winback_apr_sample
57642726,churned,winback_apr_sample
109954706,churned,winback_apr_sample
8096431,churned,winback_apr_sample
61458596,churned,winback_apr_sample
4042515,churned,winback_apr_sample
104939743,churned,winback_apr_sample
153736858,churned,winback_apr_sample
80128581,churned,winback_apr_sample
9816015,churned,winback_apr_sample
53669098,churned,winback_apr_sample
265931711,churned,winback_apr_sample
104202276,churned,winback_apr_sample
54383949,churned,winback_apr_sample
232180959,churned,winback_apr_sample
149909598,churned,winback_apr_sample
201296991,churned,winback_apr_sample
29980405,churned,winback_apr_sample
78700634,churned,winback_apr_sample
29144232,churned,winback_apr_sample
69232803,churned,winback_apr_sample
257737969,churned,winback_apr_sample
243839243,churned,winback_apr_sample
77592698,churned,winback_apr_sample
182423499,churned,winback_apr_sample
152422233,churned,winback_apr_sample
131899287,churned,winback_apr_sample
57561484,churned,winback_apr_sample
28788467,churned,winback_apr_sample
238148264,churned,winback_apr_sample
226453362,churned,winback_apr_sample
15426145,churned,winback_apr_sample
6698157,churned,winback_apr_sample
21013484,churned,winback_apr_sample
33364884,churned,winback_apr_sample
